day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;3100;AMETHYSTS;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;43.0
1;3100;STARFRUIT;5048;28;;;;;5055;28;;;;;5051.5;7.625
1;3200;STARFRUIT;5049;24;;;;;5052;5;5056;24;;;5050.5;19.5703125
1;3200;AMETHYSTS;10002;2;9995;24;;;10005;24;;;;;10003.5;43.0
1;3300;STARFRUIT;5050;1;5049;24;;;5056;25;;;;;5053.0;33.640625
1;3300;AMETHYSTS;10002;1;9996;1;9995;24;10004;1;10005;24;;;10003.0;47.0
1;3400;STARFRUIT;5050;29;;;;;5056;2;5057;27;;;5053.0;37.828125
1;3400;AMETHYSTS;9998;10;9996;2;9995;27;10004;2;10005;27;;;10001.0;49.0
1;3500;AMETHYSTS;9995;26;;;;;10002;10;10005;26;;;9998.5;49.0
1;3500;STARFRUIT;5049;26;;;;;5057;26;;;;;5053.0;34.546875
1;3600;STARFRUIT;5050;27;;;;;5057;27;;;;;5053.5;39.203125
1;3600;AMETHYSTS;9995;27;;;;;10002;8;10005;27;;;9998.5;49.0
1;3700;STARFRUIT;5050;25;;;;;5057;25;;;;;5053.5;48.140625
1;3700;AMETHYSTS;9998;3;9995;25;;;10005;25;;;;;10001.5;49.0
1;3800;STARFRUIT;5051;24;;;;;5056;7;5058;24;;;5053.5;35.0
1;3800;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;49.0
1;3900;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;49.0
1;3900;STARFRUIT;5051;1;5050;26;;;5057;26;;;;;5054.0;35.0
1;4000;STARFRUIT;5051;30;;;;;5058;31;;;;;5054.5;35.0
1;4000;AMETHYSTS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;49.0
1;4100;STARFRUIT;5054;5;5052;2;5051;22;5058;24;;;;;5056.0;35.0
1;4100;AMETHYSTS;10000;5;9996;2;9995;22;10002;4;10004;2;10005;22;10001.0;51.0
1;4200;STARFRUIT;5051;29;;;;;5056;7;5058;29;;;5053.5;35.0
1;4200;AMETHYSTS;10002;5;9996;1;9995;28;10004;1;10005;28;;;10003.0;51.0
1;4300;AMETHYSTS;9995;26;;;;;10002;8;10005;26;;;9998.5;61.0
1;4300;STARFRUIT;5052;26;;;;;5054;2;5059;26;;;5053.0;35.0
1;4400;STARFRUIT;5052;28;;;;;5059;28;;;;;5055.5;35.0
1;4400;AMETHYSTS;9995;28;;;;;10005;28;;;;;10000.0;61.0
1;4500;STARFRUIT;5053;26;;;;;5058;8;5060;26;;;5055.5;35.0
1;4500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;61.0
1;4600;STARFRUIT;5053;21;;;;;5058;3;5060;21;;;5055.5;35.0
1;4600;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;61.0
1;4700;AMETHYSTS;9998;5;9995;26;;;10005;26;;;;;10001.5;61.0
1;4700;STARFRUIT;5053;26;;;;;5060;26;;;;;5056.5;35.0
1;4800;STARFRUIT;5059;1;5054;7;5053;23;5060;23;;;;;5059.5;35.0
1;4800;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;61.0
1;4900;STARFRUIT;5054;2;5053;22;;;5058;6;5060;24;;;5056.0;35.0
1;4900;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;61.0
1;5000;STARFRUIT;5054;5;5053;31;;;5060;31;;;;;5057.0;35.0
1;5000;AMETHYSTS;9998;9;9996;1;9995;30;10004;1;10005;30;;;10001.0;61.0
1;5100;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;61.0
1;5100;STARFRUIT;5053;26;;;;;5060;26;;;;;5056.5;35.0
1;5200;STARFRUIT;5056;5;5054;6;5053;25;5060;25;;;;;5058.0;35.0
1;5200;AMETHYSTS;10000;5;9998;7;9996;2;10004;2;10005;23;;;10002.0;61.0
1;5300;STARFRUIT;5054;22;;;;;5061;22;;;;;5057.5;35.0
1;5300;AMETHYSTS;9995;22;;;;;9998;12;10005;22;;;9996.5;61.0
1;5400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;85.0
1;5400;STARFRUIT;5054;30;;;;;5061;30;;;;;5057.5;35.0
1;5500;STARFRUIT;5054;29;;;;;5055;8;5060;1;5061;28;5054.5;35.0
1;5500;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;86.0
1;5600;STARFRUIT;5053;25;;;;;5060;25;;;;;5056.5;48.6484375
1;5600;AMETHYSTS;9998;2;9996;2;9995;23;10004;2;10005;23;;;10001.0;88.0
1;5700;STARFRUIT;5055;3;5054;31;;;5060;1;5061;30;;;5057.5;52.234375
1;5700;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;88.0
1;5800;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;88.0
1;5800;STARFRUIT;5054;30;;;;;5061;30;;;;;5057.5;54.02734375
1;5900;STARFRUIT;5054;23;;;;;5061;23;;;;;5057.5;53.37109375
1;5900;AMETHYSTS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;88.0
1;6000;STARFRUIT;5053;30;;;;;5060;30;;;;;5056.5;51.0
1;6000;AMETHYSTS;9995;30;;;;;10002;10;10005;30;;;9998.5;88.0
1;6100;STARFRUIT;5054;25;;;;;5061;25;;;;;5057.5;51.0
1;6100;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;88.0
1;6200;AMETHYSTS;9998;3;9996;1;9995;29;10004;1;10005;29;;;10001.0;88.0
1;6200;STARFRUIT;5060;1;5054;30;;;5061;30;;;;;5060.5;51.0
1;6300;STARFRUIT;5054;22;;;;;5062;22;;;;;5058.0;51.0
1;6300;AMETHYSTS;9995;22;;;;;10005;22;;;;;10000.0;88.0
1;6400;STARFRUIT;5054;24;;;;;5061;24;;;;;5057.5;51.0
1;6400;AMETHYSTS;9996;1;9995;23;;;10002;6;10004;1;10005;23;9999.0;88.0
1;6500;STARFRUIT;5054;22;;;;;5061;22;;;;;5057.5;51.0
1;6500;AMETHYSTS;9995;22;;;;;10005;22;;;;;10000.0;88.0
1;6600;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;88.0
1;6600;STARFRUIT;5055;29;;;;;5056;7;5062;29;;;5055.5;51.0
1;6700;STARFRUIT;5054;31;;;;;5059;7;5061;31;;;5056.5;51.0
1;6700;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;88.0
1;6800;STARFRUIT;5056;4;5054;2;5053;29;5060;31;;;;;5058.0;51.0
1;6800;AMETHYSTS;10000;5;9996;2;9995;29;10004;2;10005;29;;;10002.0;89.0
1;6900;STARFRUIT;5053;29;;;;;5058;3;5060;29;;;5055.5;51.0
1;6900;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;89.0
1;7000;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;89.0
1;7000;STARFRUIT;5055;7;5054;31;;;5061;31;;;;;5058.0;56.7421875
1;7100;STARFRUIT;5054;31;;;;;5061;31;;;;;5057.5;65.4453125
1;7100;AMETHYSTS;9996;1;9995;30;;;9998;5;10002;7;10004;1;9997.0;89.0
1;7200;STARFRUIT;5056;6;5055;23;;;5062;23;;;;;5059.0;75.640625
1;7200;AMETHYSTS;9996;1;9995;22;;;10002;1;10004;1;10005;22;9999.0;99.0
1;7300;STARFRUIT;5055;1;5054;25;;;5061;26;;;;;5058.0;68.828125
1;7300;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;106.0
1;7400;AMETHYSTS;10002;1;9995;22;;;10005;22;;;;;10003.5;106.0
1;7400;STARFRUIT;5055;22;;;;;5062;22;;;;;5058.5;78.8984375
1;7500;STARFRUIT;5055;29;;;;;5060;3;5062;29;;;5057.5;71.71875
1;7500;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;108.0
1;7600;AMETHYSTS;10002;1;9995;27;;;10005;27;;;;;10003.5;108.0
1;7600;STARFRUIT;5054;27;;;;;5061;27;;;;;5057.5;68.33203125
1;7700;AMETHYSTS;9996;1;9995;25;;;10002;5;10004;1;10005;25;9999.0;110.0
1;7700;STARFRUIT;5054;26;;;;;5061;26;;;;;5057.5;68.13671875
1;7800;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;110.0
1;7800;STARFRUIT;5055;1;5054;23;;;5061;23;;;;;5058.0;70.609375
1;7900;STARFRUIT;5055;2;5054;22;;;5061;24;;;;;5058.0;70.05859375
1;7900;AMETHYSTS;9996;2;9995;22;;;10002;7;10004;2;10005;22;9999.0;110.0
1;8000;AMETHYSTS;10000;3;9996;2;9995;28;10004;2;10005;28;;;10002.0;110.0
1;8000;STARFRUIT;5059;1;5057;3;5054;30;5061;30;;;;;5060.0;66.8046875
1;8100;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;110.0
1;8100;STARFRUIT;5054;25;;;;;5061;25;;;;;5057.5;67.4296875
1;8200;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;110.0
1;8200;STARFRUIT;5054;27;;;;;5061;27;;;;;5057.5;67.634765625
1;8300;STARFRUIT;5054;28;;;;;5061;28;;;;;5057.5;71.5234375
1;8300;AMETHYSTS;9998;9;9995;28;;;10005;28;;;;;10001.5;111.0
1;8400;AMETHYSTS;9998;5;9995;29;;;10005;29;;;;;10001.5;111.0
1;8400;STARFRUIT;5055;29;;;;;5062;29;;;;;5058.5;73.33984375
1;8500;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;111.0
1;8500;STARFRUIT;5055;10;5054;25;;;5061;2;5062;25;;;5058.0;72.8828125
1;8600;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;111.0
1;8600;STARFRUIT;5055;2;5054;27;;;5061;29;;;;;5058.0;72.25390625
1;8700;STARFRUIT;5059;1;5055;8;5054;24;5061;24;;;;;5060.0;68.73828125
1;8700;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;111.0
1;8800;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;111.0
1;8800;STARFRUIT;5054;1;5053;30;;;5060;1;5061;30;;;5057.0;67.81640625
1;8900;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;111.0
1;8900;STARFRUIT;5055;2;5054;26;;;5061;26;;;;;5058.0;70.39453125
1;9000;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;111.0
1;9000;STARFRUIT;5054;23;;;;;5061;23;;;;;5057.5;73.09375
1;9100;STARFRUIT;5056;5;5055;22;;;5062;22;;;;;5059.0;75.18359375
1;9100;AMETHYSTS;9995;22;;;;;9998;1;10005;22;;;9996.5;111.0
1;9200;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;124.0
1;9200;STARFRUIT;5056;3;5055;27;;;5061;2;5062;25;;;5058.5;75.015625
1;9300;AMETHYSTS;10002;11;9998;1;9996;1;10004;1;10005;29;;;10003.0;124.0
1;9300;STARFRUIT;5055;30;;;;;5062;30;;;;;5058.5;77.4296875
1;9400;AMETHYSTS;10002;1;9996;2;9995;28;10004;2;10005;28;;;10003.0;132.0
1;9400;STARFRUIT;5056;3;5055;30;;;5062;30;;;;;5059.0;77.91015625
1;9500;STARFRUIT;5055;26;;;;;5062;26;;;;;5058.5;76.818359375
1;9500;AMETHYSTS;10002;1;9996;2;9995;24;10004;2;10005;24;;;10003.0;132.0
1;9600;AMETHYSTS;9996;1;9995;20;;;10002;6;10004;1;10005;20;9999.0;132.0
1;9600;STARFRUIT;5056;1;5055;20;;;5062;21;;;;;5059.0;78.728515625
1;9700;AMETHYSTS;9996;1;9995;30;;;10000;4;10004;1;10005;30;9998.0;132.0
1;9700;STARFRUIT;5056;31;;;;;5059;5;5061;5;5063;31;5057.5;82.66015625
1;9800;STARFRUIT;5056;26;;;;;5062;2;5063;24;;;5059.0;80.76953125
1;9800;AMETHYSTS;9998;1;9996;2;9995;24;10004;2;10005;24;;;10001.0;132.0
1;9900;STARFRUIT;5055;24;;;;;5062;24;;;;;5058.5;80.0
1;9900;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;132.0
1;10000;STARFRUIT;5055;27;;;;;5062;27;;;;;5058.5;80.0
1;10000;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;132.0
1;10100;AMETHYSTS;10002;4;9996;1;9995;20;10004;1;10005;20;;;10003.0;132.0
1;10100;STARFRUIT;5055;21;;;;;5060;5;5062;21;;;5057.5;80.0
1;10200;STARFRUIT;5055;20;;;;;5062;20;;;;;5058.5;80.0
1;10200;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;140.0
1;10300;STARFRUIT;5056;5;5055;25;;;5062;25;;;;;5059.0;80.0
1;10300;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;140.0
1;10400;STARFRUIT;5055;25;;;;;5062;25;;;;;5058.5;80.0
1;10400;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;140.0
1;10500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;140.0
1;10500;STARFRUIT;5056;8;5055;26;;;5062;26;;;;;5059.0;80.0
1;10600;STARFRUIT;5060;3;5055;20;;;5062;20;;;;;5061.0;80.0
1;10600;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;140.0
1;10700;STARFRUIT;5056;7;5055;24;;;5062;24;;;;;5059.0;80.0
1;10700;AMETHYSTS;9995;24;;;;;9998;3;10005;24;;;9996.5;140.0
1;10800;STARFRUIT;5057;6;5056;23;;;5063;23;;;;;5060.0;80.0
1;10800;AMETHYSTS;9995;23;;;;;10002;1;10005;23;;;9998.5;146.0
1;10900;AMETHYSTS;9996;1;9995;22;;;10000;6;10004;1;10005;22;9998.0;146.0
1;10900;STARFRUIT;5055;23;;;;;5058;6;5062;23;;;5056.5;88.37890625
1;11000;STARFRUIT;5055;27;;;;;5060;2;5061;1;5062;26;5057.5;81.5703125
1;11000;AMETHYSTS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;146.0
1;11100;STARFRUIT;5056;1;5055;31;;;5061;1;5062;30;;;5058.5;80.90625
1;11100;AMETHYSTS;9996;1;9995;30;;;10002;1;10004;1;10005;30;9999.0;146.0
1;11200;STARFRUIT;5055;30;;;;;5060;5;5062;30;;;5057.5;89.5859375
1;11200;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;146.0
1;11300;AMETHYSTS;9996;2;9995;25;;;10002;2;10004;2;10005;25;9999.0;146.0
1;11300;STARFRUIT;5055;2;5054;25;;;5061;27;;;;;5058.0;77.09375
1;11400;STARFRUIT;5054;30;;;;;5061;30;;;;;5057.5;76.46875
1;11400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;146.0
1;11500;STARFRUIT;5055;1;5054;28;;;5059;5;5061;29;;;5057.0;77.15625
1;11500;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;146.0
1;11600;STARFRUIT;5055;24;;;;;5060;7;5061;2;5062;22;5057.5;82.40625
1;11600;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;146.0
1;11700;AMETHYSTS;10000;4;9996;2;9995;20;10004;2;10005;20;;;10002.0;146.0
1;11700;STARFRUIT;5057;4;5054;22;;;5061;22;;;;;5059.0;70.2890625
1;11800;STARFRUIT;5055;5;5054;21;;;5056;4;5061;22;;;5055.5;79.0
1;11800;AMETHYSTS;9998;10;9996;1;9995;21;10004;1;10005;21;;;10001.0;146.0
1;11900;STARFRUIT;5057;4;5054;23;;;5061;23;;;;;5059.0;73.8046875
1;11900;AMETHYSTS;10002;1;10000;4;9998;1;10004;1;10005;22;;;10003.0;146.0
1;12000;STARFRUIT;5054;28;;;;;5060;1;5061;27;;;5057.0;64.953125
1;12000;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;148.0
1;12100;AMETHYSTS;9996;2;9995;23;;;9998;8;10004;2;10005;23;9997.0;148.0
1;12100;STARFRUIT;5054;2;5053;23;;;5060;2;5061;23;;;5057.0;64.34375
1;12200;STARFRUIT;5054;25;;;;;5061;25;;;;;5057.5;70.2109375
1;12200;AMETHYSTS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;164.0
1;12300;STARFRUIT;5055;4;5054;25;;;5061;25;;;;;5058.0;76.1171875
1;12300;AMETHYSTS;9996;1;9995;24;;;10002;3;10004;1;10005;24;9999.0;164.0
1;12400;STARFRUIT;5054;29;;;;;5061;29;;;;;5057.5;67.5625
1;12400;AMETHYSTS;10002;1;9998;5;9995;29;10005;29;;;;;10003.5;164.0
1;12500;AMETHYSTS;10000;3;9996;1;9995;22;10004;1;10005;22;;;10002.0;166.0
1;12500;STARFRUIT;5056;3;5054;1;5053;22;5060;1;5061;22;;;5058.0;63.90625
1;12600;STARFRUIT;5056;4;5053;26;;;5060;26;;;;;5058.0;53.609375
1;12600;AMETHYSTS;10000;4;9995;26;;;10005;26;;;;;10002.5;166.0
1;12700;STARFRUIT;5054;1;5053;27;;;5060;28;;;;;5057.0;60.0625
1;12700;AMETHYSTS;10002;1;9996;1;9995;27;10004;1;10005;27;;;10003.0;166.0
1;12800;STARFRUIT;5057;4;5054;30;;;5060;2;5061;28;;;5058.5;66.5390625
1;12800;AMETHYSTS;10000;4;9996;2;9995;28;10002;9;10004;2;10005;28;10001.0;166.0
1;12900;AMETHYSTS;9996;2;9995;21;;;10002;4;10004;2;10005;21;9999.0;166.0
1;12900;STARFRUIT;5054;23;;;;;5059;2;5061;23;;;5056.5;69.9765625
1;13000;STARFRUIT;5054;32;;;;;5061;32;;;;;5057.5;77.4296875
1;13000;AMETHYSTS;9996;2;9995;30;;;10002;2;10004;2;10005;30;9999.0;166.0
1;13100;STARFRUIT;5054;21;;;;;5057;2;5061;21;;;5055.5;68.328125
1;13100;AMETHYSTS;9995;21;;;;;10000;2;10005;21;;;9997.5;166.0
1;13200;STARFRUIT;5059;1;5055;7;5054;31;5060;2;5061;29;;;5059.5;65.6015625
1;13200;AMETHYSTS;9998;9;9996;2;9995;29;10004;2;10005;29;;;10001.0;166.0
1;13300;AMETHYSTS;10002;2;9996;1;9995;22;10004;1;10005;22;;;10003.0;166.0
1;13300;STARFRUIT;5054;1;5053;22;;;5060;1;5061;22;;;5057.0;66.3515625
1;13400;STARFRUIT;5053;26;;;;;5060;26;;;;;5056.5;60.5703125
1;13400;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;166.0
1;13500;STARFRUIT;5053;25;;;;;5060;25;;;;;5056.5;51.3203125
1;13500;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;166.0
1;13600;STARFRUIT;5052;26;;;;;5057;3;5059;26;;;5054.5;39.3359375
1;13600;AMETHYSTS;9996;2;9995;24;;;10002;6;10004;2;10005;24;9999.0;166.0
1;13700;AMETHYSTS;10002;1;9995;28;;;10005;28;;;;;10003.5;166.0
1;13700;STARFRUIT;5052;28;;;;;5059;28;;;;;5055.5;44.75
1;13800;STARFRUIT;5052;23;;;;;5059;23;;;;;5055.5;45.015625
1;13800;AMETHYSTS;9998;1;9995;23;;;10005;23;;;;;10001.5;166.0
1;13900;STARFRUIT;5053;21;;;;;5054;3;5059;1;5060;20;5053.5;51.3359375
1;13900;AMETHYSTS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;166.0
1;14000;STARFRUIT;5054;2;5053;29;;;5059;1;5060;28;;;5056.5;48.6015625
1;14000;AMETHYSTS;10002;6;9998;1;9996;1;10004;1;10005;28;;;10003.0;166.0
1;14100;AMETHYSTS;9996;2;9995;20;;;10002;4;10004;2;10005;20;9999.0;166.0
1;14100;STARFRUIT;5053;22;;;;;5060;22;;;;;5056.5;55.2734375
1;14200;STARFRUIT;5053;21;;;;;5060;21;;;;;5056.5;55.9375
1;14200;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;166.0
1;14300;STARFRUIT;5054;22;;;;;5061;22;;;;;5057.5;77.375
1;14300;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;166.0
1;14400;AMETHYSTS;10002;4;9996;2;9995;21;10004;2;10005;21;;;10003.0;166.0
1;14400;STARFRUIT;5055;1;5054;21;;;5061;23;;;;;5058.0;85.3125
1;14500;STARFRUIT;5055;1;5054;28;;;5059;6;5061;29;;;5057.0;47.0
1;14500;AMETHYSTS;9996;1;9995;28;;;10002;10;10004;1;10005;28;9999.0;166.0
1;14600;STARFRUIT;5055;28;;;;;5057;3;5062;28;;;5056.0;47.0
1;14600;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;166.0
1;14700;STARFRUIT;5055;1;5054;23;;;5059;2;5061;24;;;5057.0;47.0
1;14700;AMETHYSTS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;166.0
1;14800;AMETHYSTS;9996;1;9995;30;;;9998;1;10004;1;10005;30;9997.0;166.0
1;14800;STARFRUIT;5054;31;;;;;5059;3;5061;31;;;5056.5;47.0
1;14900;STARFRUIT;5059;4;5055;26;;;5061;1;5062;25;;;5060.0;47.0
1;14900;AMETHYSTS;9996;1;9995;25;;;10002;1;10004;1;10005;25;9999.0;168.0
1;15000;STARFRUIT;5056;4;5055;27;;;5061;2;5062;25;;;5058.5;47.0
1;15000;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;168.0
1;15100;STARFRUIT;5054;21;;;;;5061;21;;;;;5057.5;47.0
1;15100;AMETHYSTS;9996;1;9995;20;;;9998;1;10004;1;10005;20;9997.0;168.0
1;15200;AMETHYSTS;10000;4;9996;2;9995;21;10002;4;10004;2;10005;21;10001.0;170.0
